imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0000009,Miss Jerry,Miss Jerry,1894,1894-10-09,Romance,45,USA,None,Alexander Black,Alexander Black,Alexander Black Photoplays,"Blanche Bayliss, William Courtenay, Chauncey Depew",The adventures of a female reporter in the 1890s.,5.9,154,,,,,1,2
tt0000574,The Story of the Kelly Gang,The Story of the Kelly Gang,1906,26-12-06,"Biography, Crime, Drama",70,Australia,None,Charles Tait,Charles Tait,J. and N. Tait,"Elizabeth Tait, John Tait, Norman Campbell, Bella Cola, Will Coyne, Sam Crewes, Jack Ennis, John Forde, Vera Linden, Mr. Marshall, Mr. McKenzie, Frank Mills, Ollie Wilson",True story of notorious Australian outlaw Ned Kelly (1855-80).,6.1,589,"$2,250 ",,,,7,7
tt0001892,Den sorte dr??m,Den sorte dr??m,1911,19-08-11,Drama,53,"Germany, Denmark",,Urban Gad,"Urban Gad, Gebhard Sch??tzler-Perasini",Fotorama,"Asta Nielsen, Valdemar Psilander, Gunnar Helsengreen, Emil Albes, Hugo Flink, Mary Hagen","Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ...",5.8,188,,,,,5,2
tt0002101,Cleopatra,Cleopatra,1912,13-11-12,"Drama, History",100,USA,English,Charles L. Gaskill,Victorien Sardou,Helen Gardner Picture Players,"Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson, Helene Costello, Charles Sindelar, Mr. Howard, James R. Waite, Mr. Osborne, Harry Knowles, Mr. Paul, Mr. Brady, Mr. Corker",The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.,5.2,446,"$45,000 ",,,,25,3
tt0002130,L'Inferno,L'Inferno,1911,06-03-11,"Adventure, Drama, Fantasy",68,Italy,Italian,"Francesco Bertolini, Adolfo Padovan",Dante Alighieri,Milano Film,"Salvatore Papa, Arturo Pirovano, Giuseppe de Liguoro, Pier Delle Vigne, Augusto Milla, Attilio Motta, Emilise Beretta",Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Dor?? the original silent film has been restored and has a new score by Tangerine Dream.,7,2237,,,,,31,14
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth","From the Manger to the Cross; or, Jesus of Nazareth",1912,1913,"Biography, Drama",60,USA,English,Sidney Olcott,Gene Gauntier,Kalem Company,"R. Henderson Bland, Percy Dyer, Gene Gauntier, Alice Hollister, Samuel Morgan, James D. Ainsley, Robert G. Vignola, George Kellog, J.P. McGowan","An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise...",5.7,484,,,,,13,5
tt0002423,Madame DuBarry,Madame DuBarry,1919,26-11-19,"Biography, Drama, Romance",85,Germany,German,Ernst Lubitsch,"Norbert Falk, Hanns Kr??ly",Projektions-AG Union (PAGU),"Pola Negri, Emil Jannings, Harry Liedtke, Eduard von Winterstein, Reinhold Sch?¬nzel, Else Berna, Fred Immler, Gustav Czimeg, Karl Platen, Bernhard Goetzke, Magnus Stifter, Paul Biensfeldt, Willy Kaiser-Heyl, Alexander Ekert, Robert Sortsch-Pla","The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.",6.8,753,,,,,12,9
tt0002445,Quo Vadis?,Quo Vadis?,1913,01-03-13,"Drama, History",120,Italy,Italian,Enrico Guazzoni,"Henryk Sienkiewicz, Enrico Guazzoni",Societ?ÿ Italiana Cines,"Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella","An epic Italian film ""Quo Vadis"" influenced many of the later movies.",6.2,273,ITL 45000,,,,7,5
tt0002452,Independenta Romaniei,Independenta Romaniei,1912,01-09-12,"History, War",120,Romania,,"Aristide Demetriade, Grigore Brezeanu","Aristide Demetriade, Petre Liciu",Societatea Filmului de Arta Leon Popescu,"Aristide Demetriade, Constanta Demetriade, Constantin Nottara, Pepi Machauer, Aurel Athanasescu, Jeny Metaxa-Doro, Nicolae Soreanu, Vasile Toneanu, Aristita Romanescu, Elvire Popesco, M. V??rgolici, C. Nedelcovici, Mihail Tancovici-Cosmin, Ion Dumitrescu, Gheorghe Meliseanu",The movie depicts the Romanian War of Independence (1877-1878).,6.7,198,ROL 400000,,,,4,1
tt0002461,Richard III,Richard III,1912,15-10-12,Drama,55,"France, USA",English,"Andr?? Calmettes, James Keane","James Keane, William Shakespeare",Le Film d'Art,"Robert Gemp, Frederick Warde, Albert Gardner, James Keane, George Moss, Howard Stuart, Virginia Rankin, Violet Stuart, Carey Lee, Carlotta De Felice",Richard of Gloucester uses manipulation and murder to gain the English throne.,5.5,225,"$30,000 ",,,,8,1
tt0002646,Atlantis,Atlantis,1913,26-12-13,Drama,121,Denmark,Danish,August Blom,"Axel Garde, Gerhart Hauptmann",Nordisk Film,"Olaf F??nss, Ida Orloff, Ebba Thomsen, Carl Lauritzen, Frederik Jacobsen, Charles Unthan, Torben Meyer, Svend Bille, Oluf Billesborg, Maja Bjerre-Lind, Cajus Bruun, Michael Curtiz, Marie Dinesen, Vera Esb??ll, Lily Frederiksen","After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.",6.6,331,,,,,9,9
tt0002844,Fant??mas - ?? l'ombre de la guillotine,Fant??mas - ?? l'ombre de la guillotine,1913,12-05-13,"Crime, Drama",54,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Soci??t?? des Etablissements L. Gaumont,"Ren?? Navarre, Edmund Breon, Georges Melchior, Ren??e Carl, Jane Faber, Andr?? Volbert, Naudier, Maillard, Yvette Andr??yor, Andr?? Luguet",Inspector Juve is tasked to investigate and capture an infamous criminal Fantomas.,7,1944,,,,,9,28
tt0003014,Il calvario di una madre,Ingeborg Holm,1913,18-10-15,Drama,96,Sweden,,Victor Sj??str??m,Nils Krok,Svenska Biografteatern AB,"Hilda Borgstr??m, Aron Lindgren, Erik Lindholm, Georg Gr??nroos, William Larsson, Richard Lund, Carl Barcklind, Hugo Bj??rne, Bertil Malmstedt",Single mother is separated from her children due to financial struggles.,7.1,948,,,,,16,7
